date,open,high,low,close,volume,average,barCount
2025-08-31 18:00:00-04:00,3517.9,3518.0,3511.5,3514.2,1629.0,3514.21,975
2025-08-31 18:15:00-04:00,3514.0,3514.4,3510.9,3514.2,606.0,3512.88,355
2025-08-31 18:30:00-04:00,3513.9,3516.6,3512.5,3513.4,943.0,3514.71,574
2025-08-31 18:45:00-04:00,3513.2,3513.9,3512.4,3513.5,337.0,3513.07,197
2025-08-31 19:00:00-04:00,3513.6,3514.3,3513.0,3513.7,444.0,3513.6,249
2025-08-31 19:15:00-04:00,3513.7,3513.7,3511.5,3511.7,288.0,3512.31,171
2025-08-31 19:30:00-04:00,3511.6,3512.1,3510.3,3510.9,278.0,3511.05,173
2025-08-31 19:45:00-04:00,3511.0,3512.9,3509.7,3512.1,830.0,3511.09,557
2025-08-31 20:00:00-04:00,3511.9,3512.3,3509.9,3510.6,839.0,3510.86,575
2025-08-31 20:15:00-04:00,3510.5,3513.1,3509.8,3512.8,704.0,3511.43,420
2025-08-31 20:30:00-04:00,3513.0,3514.8,3511.9,3512.2,760.0,3513.22,481
2025-08-31 20:45:00-04:00,3512.1,3512.9,3510.6,3511.4,386.0,3511.67,243
2025-08-31 21:00:00-04:00,3511.4,3512.7,3506.0,3506.7,1992.0,3508.61,1208
2025-08-31 21:15:00-04:00,3506.7,3508.5,3506.1,3508.1,1237.0,3506.99,757
2025-08-31 21:30:00-04:00,3508.0,3516.0,3507.4,3515.7,1599.0,3511.26,1039
2025-08-31 21:45:00-04:00,3515.5,3528.6,3514.9,3526.4,4300.0,3520.99,2357
2025-08-31 22:00:00-04:00,3526.5,3542.8,3524.1,3531.0,7908.0,3533.38,4380
2025-08-31 22:15:00-04:00,3530.9,3540.8,3525.8,3537.8,4810.0,3531.69,2688
2025-08-31 22:30:00-04:00,3537.6,3548.7,3535.9,3547.2,5418.0,3542.84,3409
2025-08-31 22:45:00-04:00,3547.5,3550.9,3543.3,3549.4,4520.0,3547.31,2884
2025-08-31 23:00:00-04:00,3549.6,3552.4,3538.9,3541.7,3554.0,3545.02,2321
2025-08-31 23:15:00-04:00,3541.7,3544.4,3539.7,3542.0,1461.0,3542.04,952
