date,open,high,low,close,volume,average,barCount
2025-12-01 00:00:00,4310.0,4310.0,4305.3,4306.3,7.0,4306.86,7
2025-12-01 00:05:00,4306.9,4307.9,4305.3,4307.0,5.0,4306.76,5
2025-12-01 00:10:00,4301.7,4301.7,4294.6,4296.5,28.0,4297.71,25
2025-12-01 00:15:00,4292.8,4293.7,4288.0,4290.3,95.0,4291.47,53
2025-12-01 00:20:00,4289.8,4290.4,4282.5,4287.3,50.0,4285.89,47
2025-12-01 00:25:00,4286.2,4286.3,4278.9,4284.3,47.0,4281.64,45
2025-12-01 00:30:00,4281.6,4292.0,4281.6,4289.3,21.0,4287.8,17
2025-12-01 00:35:00,4288.6,4290.0,4286.9,4289.0,8.0,4288.61,7
2025-12-01 00:40:00,4289.7,4289.7,4287.3,4287.3,2.0,4288.5,2
2025-12-01 00:45:00,4289.2,4289.2,4287.7,4287.7,2.0,4288.45,2
2025-12-01 00:50:00,4293.3,4295.1,4292.9,4295.1,20.0,4294.63,12
2025-12-01 00:55:00,4294.1,4294.1,4291.5,4293.0,14.0,4293.05,9
2025-12-01 01:00:00,4293.8,4296.9,4293.8,4296.7,32.0,4296.53,18
2025-12-01 01:05:00,4293.8,4293.8,4293.8,4293.8,1.0,4293.8,1
2025-12-01 01:10:00,4294.7,4297.0,4294.7,4297.0,6.0,4295.92,6
2025-12-01 01:15:00,4296.6,4296.9,4293.3,4293.3,20.0,4295.34,10
2025-12-01 01:20:00,4294.2,4294.2,4290.7,4291.0,3.0,4291.97,3
2025-12-01 01:25:00,4293.2,4295.2,4293.2,4295.2,5.0,4294.32,5
2025-12-01 01:30:00,4297.8,4297.8,4296.0,4296.0,5.0,4297.06,5
2025-12-01 01:35:00,4296.1,4296.1,4293.4,4294.4,5.0,4294.4,5
2025-12-01 01:40:00,4294.6,4298.0,4294.6,4298.0,4.0,4296.8,4
2025-12-01 01:45:00,4298.8,4303.3,4298.8,4302.1,25.0,4300.66,13
2025-12-01 01:50:00,4302.2,4302.5,4301.6,4302.5,4.0,4302.03,4
2025-12-01 01:55:00,4303.0,4303.0,4300.2,4300.2,4.0,4302.03,4
2025-12-01 02:00:00,4300.3,4300.3,4299.2,4299.2,4.0,4299.63,3
2025-12-01 02:05:00,4297.4,4300.7,4297.4,4300.7,3.0,4299.4,3
2025-12-01 02:10:00,4300.7,4300.7,4299.0,4299.0,3.0,4299.57,3
2025-12-01 02:15:00,4298.3,4298.3,4297.4,4297.4,2.0,4297.85,2
2025-12-01 02:20:00,4300.1,4300.1,4300.1,4300.1,1.0,4300.1,1
2025-12-01 02:25:00,4302.2,4305.4,4302.2,4304.5,16.0,4303.96,9
2025-12-01 02:30:00,4305.1,4306.0,4305.0,4305.2,4.0,4305.32,4
2025-12-01 02:35:00,4305.4,4305.5,4305.4,4305.5,2.0,4305.45,2
2025-12-01 02:40:00,4304.2,4304.2,4304.2,4304.2,1.0,4304.2,1
2025-12-01 02:45:00,4304.2,4304.2,4304.2,4304.2,0.0,4304.2,0
2025-12-01 02:50:00,4305.2,4305.2,4305.2,4305.2,1.0,4305.2,1
2025-12-01 02:55:00,4306.2,4310.0,4306.2,4309.0,10.0,4307.5,9
2025-12-01 03:00:00,4309.6,4312.2,4309.6,4312.2,9.0,4311.33,8
2025-12-01 03:05:00,4312.6,4313.5,4310.3,4313.5,14.0,4312.77,7
2025-12-01 03:10:00,4316.0,4317.1,4315.4,4317.0,11.0,4316.35,10
2025-12-01 03:15:00,4316.7,4318.2,4315.7,4318.2,9.0,4316.79,9
2025-12-01 03:20:00,4318.0,4318.2,4315.0,4318.2,7.0,4317.24,6
2025-12-01 03:25:00,4317.4,4317.4,4317.1,4317.1,2.0,4317.25,2
