date,symbol,open,high,low,close,volume
2025-09-17 05:45:00,TVC:GOLD,3682.1,3682.54,3681.715,3681.96,2159.0
2025-09-17 05:50:00,TVC:GOLD,3681.86,3682.13,3680.47,3681.21,3060.0
2025-09-17 05:55:00,TVC:GOLD,3681.15,3682.46,3680.795,3681.62,2470.0
2025-09-17 06:00:00,TVC:GOLD,3681.699,3682.56,3681.015,3682.254,2649.0
2025-09-17 06:05:00,TVC:GOLD,3682.254,3682.254,3681.335,3682.06,2406.0
2025-09-17 06:10:00,TVC:GOLD,3681.99,3682.434,3681.545,3682.0,1877.0
2025-09-17 06:15:00,TVC:GOLD,3681.94,3682.49,3681.385,3681.98,2373.0
2025-09-17 06:20:00,TVC:GOLD,3681.98,3682.014,3680.805,3681.14,2246.0
2025-09-17 06:25:00,TVC:GOLD,3681.14,3681.674,3680.785,3680.95,2073.0
2025-09-17 06:30:00,TVC:GOLD,3681.08,3681.44,3680.485,3681.151,2451.0
2025-09-17 06:35:00,TVC:GOLD,3681.191,3682.07,3680.775,3681.5,2130.0
2025-09-17 06:40:00,TVC:GOLD,3681.39,3681.63,3680.77,3681.32,2693.0
2025-09-17 06:45:00,TVC:GOLD,3681.32,3681.81,3680.86,3681.559,2709.0
2025-09-17 06:50:00,TVC:GOLD,3681.58,3681.74,3680.69,3680.95,2637.0
2025-09-17 06:55:00,TVC:GOLD,3681.08,3681.58,3680.245,3680.704,3295.0
2025-09-17 07:00:00,TVC:GOLD,3680.62,3684.96,3680.475,3684.88,5530.0
2025-09-17 07:05:00,TVC:GOLD,3684.92,3685.91,3683.645,3684.84,5824.0
2025-09-17 07:10:00,TVC:GOLD,3685.086,3685.086,3682.295,3683.54,6091.0
2025-09-17 07:15:00,TVC:GOLD,3683.5,3684.13,3682.018,3682.45,5573.0
2025-09-17 07:20:00,TVC:GOLD,3682.454,3682.62,3679.025,3679.075,6626.0
2025-09-17 07:25:00,TVC:GOLD,3679.39,3680.81,3678.865,3680.435,6550.0
2025-09-17 07:30:00,TVC:GOLD,3680.62,3681.91,3678.145,3679.05,8827.0
2025-09-17 07:35:00,TVC:GOLD,3679.011,3679.22,3677.398,3677.8,6467.0
2025-09-17 07:40:00,TVC:GOLD,3677.76,3678.87,3675.585,3678.77,7934.0
2025-09-17 07:45:00,TVC:GOLD,3678.77,3679.81,3677.618,3677.94,6352.0
2025-09-17 07:50:00,TVC:GOLD,3677.77,3678.69,3677.085,3678.29,5176.0
2025-09-17 07:55:00,TVC:GOLD,3678.29,3679.28,3677.898,3679.111,5423.0
2025-09-17 08:00:00,TVC:GOLD,3679.11,3680.08,3677.06,3678.11,6794.0
2025-09-17 08:05:00,TVC:GOLD,3678.05,3678.89,3676.205,3676.64,6615.0
2025-09-17 08:10:00,TVC:GOLD,3676.671,3676.9,3674.548,3675.88,6775.0
2025-09-17 08:15:00,TVC:GOLD,3675.88,3678.43,3675.415,3678.19,6329.0
2025-09-17 08:20:00,TVC:GOLD,3678.19,3679.11,3677.28,3677.73,5358.0
2025-09-17 08:25:00,TVC:GOLD,3677.74,3677.83,3675.01,3675.79,6768.0
2025-09-17 08:30:00,TVC:GOLD,3675.76,3676.85,3673.795,3675.52,6910.0
2025-09-17 08:35:00,TVC:GOLD,3675.52,3676.33,3673.595,3673.68,6462.0
2025-09-17 08:40:00,TVC:GOLD,3673.68,3674.16,3670.265,3671.351,10437.0
2025-09-17 08:45:00,TVC:GOLD,3671.34,3674.21,3670.735,3671.8,11015.0
2025-09-17 08:50:00,TVC:GOLD,3671.67,3676.64,3671.56,3676.62,8619.0
2025-09-17 08:55:00,TVC:GOLD,3676.46,3676.66,3674.065,3674.904,7926.0
2025-09-17 09:00:00,TVC:GOLD,3674.99,3677.33,3670.085,3672.96,11580.0
2025-09-17 09:05:00,TVC:GOLD,3672.84,3675.35,3672.015,3675.02,7933.0
2025-09-17 09:10:00,TVC:GOLD,3674.91,3675.21,3670.945,3671.15,7463.0
2025-09-17 09:15:00,TVC:GOLD,3671.12,3671.47,3669.195,3669.494,8841.0
2025-09-17 09:20:00,TVC:GOLD,3669.504,3671.56,3669.295,3670.9,7822.0
2025-09-17 09:25:00,TVC:GOLD,3670.97,3671.32,3666.498,3667.534,7857.0
2025-09-17 09:30:00,TVC:GOLD,3667.52,3670.35,3666.435,3670.29,9427.0
2025-09-17 09:35:00,TVC:GOLD,3670.234,3671.3,3669.535,3670.11,6827.0
2025-09-17 09:40:00,TVC:GOLD,3670.211,3670.99,3667.909,3670.52,7253.0
2025-09-17 09:45:00,TVC:GOLD,3670.38,3671.08,3668.565,3669.08,5898.0
2025-09-17 09:50:00,TVC:GOLD,3668.97,3669.17,3667.585,3668.11,5983.0
2025-09-17 09:55:00,TVC:GOLD,3668.11,3668.38,3666.515,3667.06,6970.0
2025-09-17 10:00:00,TVC:GOLD,3667.05,3667.52,3664.218,3665.72,8961.0
2025-09-17 10:05:00,TVC:GOLD,3665.72,3667.19,3665.315,3666.651,7188.0
2025-09-17 10:10:00,TVC:GOLD,3666.67,3666.69,3664.805,3665.19,6413.0
2025-09-17 10:15:00,TVC:GOLD,3665.08,3666.264,3663.315,3666.01,9038.0
2025-09-17 10:20:00,TVC:GOLD,3665.971,3666.164,3663.195,3664.23,7450.0
2025-09-17 10:25:00,TVC:GOLD,3664.23,3667.07,3663.835,3666.86,6321.0
2025-09-17 10:30:00,TVC:GOLD,3666.831,3667.92,3665.495,3666.55,7067.0
2025-09-17 10:35:00,TVC:GOLD,3666.55,3667.03,3662.755,3664.054,8602.0
2025-09-17 10:40:00,TVC:GOLD,3664.02,3665.34,3662.245,3663.96,9111.0
2025-09-17 10:45:00,TVC:GOLD,3663.92,3666.8,3663.645,3665.7,7824.0
2025-09-17 10:50:00,TVC:GOLD,3665.75,3666.12,3664.64,3665.109,6378.0
2025-09-17 10:55:00,TVC:GOLD,3665.07,3665.51,3663.475,3664.77,7463.0
2025-09-17 11:00:00,TVC:GOLD,3664.8,3665.76,3663.735,3664.184,5785.0
2025-09-17 11:05:00,TVC:GOLD,3664.05,3666.42,3663.965,3665.32,7255.0
2025-09-17 11:10:00,TVC:GOLD,3665.19,3668.86,3665.065,3668.25,10337.0
2025-09-17 11:15:00,TVC:GOLD,3668.314,3670.28,3667.995,3669.51,6820.0
2025-09-17 11:20:00,TVC:GOLD,3669.58,3671.0,3668.325,3669.52,7607.0
2025-09-17 11:25:00,TVC:GOLD,3669.42,3670.21,3668.395,3668.52,6298.0
2025-09-17 11:30:00,TVC:GOLD,3668.544,3670.064,3666.945,3667.78,8144.0
2025-09-17 11:35:00,TVC:GOLD,3667.66,3668.73,3667.165,3668.17,5421.0
2025-09-17 11:40:00,TVC:GOLD,3668.27,3668.56,3667.205,3668.09,5338.0
2025-09-17 11:45:00,TVC:GOLD,3668.06,3669.57,3667.865,3669.25,5654.0
2025-09-17 11:50:00,TVC:GOLD,3669.25,3669.36,3667.855,3668.89,6050.0
2025-09-17 11:55:00,TVC:GOLD,3668.911,3669.24,3667.225,3667.8,6503.0
2025-09-17 12:00:00,TVC:GOLD,3667.82,3669.75,3667.055,3668.36,7756.0
2025-09-17 12:05:00,TVC:GOLD,3668.36,3668.41,3663.815,3664.07,9151.0
2025-09-17 12:10:00,TVC:GOLD,3664.08,3665.22,3660.52,3665.22,11716.0
2025-09-17 12:15:00,TVC:GOLD,3665.174,3667.74,3664.748,3667.42,9708.0
2025-09-17 12:20:00,TVC:GOLD,3667.43,3667.994,3664.798,3667.11,8373.0
2025-09-17 12:25:00,TVC:GOLD,3667.1,3667.2,3665.578,3666.85,5848.0
2025-09-17 12:30:00,TVC:GOLD,3666.9,3666.97,3664.255,3664.72,6455.0
2025-09-17 12:35:00,TVC:GOLD,3664.894,3666.5,3664.535,3665.55,6993.0
2025-09-17 12:40:00,TVC:GOLD,3665.594,3666.65,3664.995,3666.35,5054.0
2025-09-17 12:45:00,TVC:GOLD,3666.28,3667.3,3662.61,3662.74,7239.0
2025-09-17 12:50:00,TVC:GOLD,3662.72,3663.66,3660.045,3661.705,11704.0
2025-09-17 12:55:00,TVC:GOLD,3661.84,3662.42,3660.42,3661.44,8771.0
2025-09-17 13:00:00,TVC:GOLD,3661.47,3662.08,3659.99,3661.84,8670.0
2025-09-17 13:05:00,TVC:GOLD,3661.84,3663.31,3660.515,3662.84,9125.0
2025-09-17 13:10:00,TVC:GOLD,3662.89,3665.18,3661.965,3662.94,8666.0
2025-09-17 13:15:00,TVC:GOLD,3663.004,3664.32,3662.275,3663.88,6906.0
2025-09-17 13:20:00,TVC:GOLD,3663.72,3668.17,3663.475,3667.67,8549.0
2025-09-17 13:25:00,TVC:GOLD,3667.68,3668.24,3665.825,3667.98,8840.0
2025-09-17 13:30:00,TVC:GOLD,3667.97,3668.63,3666.695,3667.68,8063.0
2025-09-17 13:35:00,TVC:GOLD,3667.525,3668.24,3666.215,3666.579,6972.0
2025-09-17 13:40:00,TVC:GOLD,3666.58,3668.54,3665.528,3667.91,7541.0
2025-09-17 13:45:00,TVC:GOLD,3667.851,3669.92,3667.225,3668.6,7529.0
2025-09-17 13:50:00,TVC:GOLD,3668.65,3669.18,3665.195,3665.5,9985.0
2025-09-17 13:55:00,TVC:GOLD,3665.511,3666.28,3664.248,3665.92,8712.0
2025-09-17 14:00:00,TVC:GOLD,3665.97,3669.37,3665.445,3668.811,9724.0
2025-09-17 14:05:00,TVC:GOLD,3668.558,3670.82,3667.675,3670.17,8655.0
2025-09-17 14:10:00,TVC:GOLD,3670.35,3671.655,3668.865,3669.35,8666.0
2025-09-17 14:15:00,TVC:GOLD,3669.44,3671.66,3669.115,3671.27,9092.0
2025-09-17 14:20:00,TVC:GOLD,3671.27,3672.03,3670.068,3671.3,9529.0
2025-09-17 14:25:00,TVC:GOLD,3671.32,3671.37,3670.075,3670.57,6501.0
2025-09-17 14:30:00,TVC:GOLD,3670.57,3672.2,3669.705,3671.194,7547.0
2025-09-17 14:35:00,TVC:GOLD,3671.16,3674.12,3670.815,3674.04,8670.0
2025-09-17 14:40:00,TVC:GOLD,3673.81,3675.27,3672.505,3674.471,9230.0
2025-09-17 14:45:00,TVC:GOLD,3674.69,3677.53,3674.135,3676.86,8658.0
2025-09-17 14:50:00,TVC:GOLD,3676.87,3678.65,3675.435,3678.08,9363.0
2025-09-17 14:55:00,TVC:GOLD,3678.13,3679.38,3677.795,3678.63,9162.0
2025-09-17 15:00:00,TVC:GOLD,3678.66,3679.45,3675.065,3675.7,13200.0
2025-09-17 15:05:00,TVC:GOLD,3675.7,3677.43,3672.455,3676.4,13653.0
2025-09-17 15:10:00,TVC:GOLD,3676.304,3678.95,3676.085,3678.47,10510.0
2025-09-17 15:15:00,TVC:GOLD,3678.48,3679.32,3675.595,3676.47,9410.0
2025-09-17 15:20:00,TVC:GOLD,3676.48,3677.09,3673.845,3675.34,10246.0
2025-09-17 15:25:00,TVC:GOLD,3675.26,3676.9,3673.698,3676.42,9044.0
2025-09-17 15:30:00,TVC:GOLD,3676.57,3680.52,3676.098,3680.164,15462.0
2025-09-17 15:35:00,TVC:GOLD,3680.11,3682.68,3679.205,3679.87,14936.0
2025-09-17 15:40:00,TVC:GOLD,3679.73,3680.76,3677.855,3679.111,12272.0
2025-09-17 15:45:00,TVC:GOLD,3679.09,3679.454,3676.545,3679.36,12704.0
2025-09-17 15:50:00,TVC:GOLD,3679.325,3679.86,3676.005,3677.44,13751.0
2025-09-17 15:55:00,TVC:GOLD,3677.185,3679.19,3676.365,3678.71,12147.0
2025-09-17 16:00:00,TVC:GOLD,3678.84,3681.2,3676.585,3679.42,12891.0
2025-09-17 16:05:00,TVC:GOLD,3679.52,3681.47,3678.065,3680.99,11901.0
2025-09-17 16:10:00,TVC:GOLD,3681.06,3684.42,3680.455,3683.884,10674.0
2025-09-17 16:15:00,TVC:GOLD,3684.02,3685.25,3682.465,3682.93,11425.0
2025-09-17 16:20:00,TVC:GOLD,3682.79,3683.75,3681.6,3683.451,11510.0
2025-09-17 16:25:00,TVC:GOLD,3683.384,3683.64,3681.645,3683.07,9016.0
2025-09-17 16:30:00,TVC:GOLD,3682.99,3685.37,3682.825,3683.17,11411.0
2025-09-17 16:35:00,TVC:GOLD,3683.115,3685.25,3682.558,3684.88,9720.0
2025-09-17 16:40:00,TVC:GOLD,3684.99,3685.65,3683.405,3685.36,10110.0
2025-09-17 16:45:00,TVC:GOLD,3685.46,3686.14,3684.415,3685.1,10246.0
2025-09-17 16:50:00,TVC:GOLD,3685.199,3685.33,3682.398,3682.69,10541.0
2025-09-17 16:55:00,TVC:GOLD,3682.6,3684.72,3682.285,3684.125,10270.0
2025-09-17 17:00:00,TVC:GOLD,3684.211,3685.7,3683.285,3683.48,10140.0
2025-09-17 17:05:00,TVC:GOLD,3683.47,3685.25,3683.165,3684.93,8944.0
2025-09-17 17:10:00,TVC:GOLD,3684.98,3687.39,3684.335,3685.41,9177.0
2025-09-17 17:15:00,TVC:GOLD,3685.424,3686.54,3684.458,3685.37,7906.0
2025-09-17 17:20:00,TVC:GOLD,3684.89,3686.66,3684.535,3685.88,8184.0
2025-09-17 17:25:00,TVC:GOLD,3685.9,3686.48,3684.085,3685.17,8041.0
2025-09-17 17:30:00,TVC:GOLD,3685.29,3686.27,3684.385,3684.92,7089.0
2025-09-17 17:35:00,TVC:GOLD,3684.931,3687.2,3684.805,3686.17,8024.0
2025-09-17 17:40:00,TVC:GOLD,3686.194,3686.86,3684.415,3685.37,6225.0
2025-09-17 17:45:00,TVC:GOLD,3684.8,3685.71,3683.745,3684.424,5677.0
2025-09-17 17:50:00,TVC:GOLD,3684.4,3685.48,3682.785,3682.92,6352.0
