date,open,high,low,close,volume,average,barCount
2025-09-17 11:15:00,3668.314,3670.28,3667.995,3669.51,6820.0,3669.02475,0
2025-09-17 11:20:00,3669.58,3671.0,3668.325,3669.52,7607.0,3669.60625,0
2025-09-17 11:25:00,3669.42,3670.21,3668.395,3668.52,6298.0,3669.13625,0
2025-09-17 11:30:00,3668.544,3670.064,3666.945,3667.78,8144.0,3668.33325,0
2025-09-17 11:35:00,3667.66,3668.73,3667.165,3668.17,5421.0,3667.93125,0
2025-09-17 11:40:00,3668.27,3668.56,3667.205,3668.09,5338.0,3668.03125,0
2025-09-17 11:45:00,3668.06,3669.57,3667.865,3669.25,5654.0,3668.6862499999997,0
2025-09-17 11:50:00,3669.25,3669.36,3667.855,3668.89,6050.0,3668.83875,0
2025-09-17 11:55:00,3668.911,3669.24,3667.225,3667.8,6503.0,3668.294,0
2025-09-17 12:00:00,3667.82,3669.75,3667.055,3668.36,7756.0,3668.24625,0
2025-09-17 12:05:00,3668.36,3668.41,3663.815,3664.07,9151.0,3666.16375,0
2025-09-17 12:10:00,3664.08,3665.22,3660.52,3665.22,11716.0,3663.7599999999998,0
2025-09-17 12:15:00,3665.174,3667.74,3664.748,3667.42,9708.0,3666.2705,0
2025-09-17 12:20:00,3667.43,3667.994,3664.798,3667.11,8373.0,3666.833,0
2025-09-17 12:25:00,3667.1,3667.2,3665.578,3666.85,5848.0,3666.682,0
2025-09-17 12:30:00,3666.9,3666.97,3664.255,3664.72,6455.0,3665.71125,0
2025-09-17 12:35:00,3664.894,3666.5,3664.535,3665.55,6993.0,3665.36975,0
2025-09-17 12:40:00,3665.594,3666.65,3664.995,3666.35,5054.0,3665.8972500000004,0
2025-09-17 12:45:00,3666.28,3667.3,3662.61,3662.74,7239.0,3664.7325,0
2025-09-17 12:50:00,3662.72,3663.66,3660.045,3661.705,11704.0,3662.0325,0
2025-09-17 12:55:00,3661.84,3662.42,3660.42,3661.44,8771.0,3661.53,0
2025-09-17 13:00:00,3661.47,3662.08,3659.99,3661.84,8670.0,3661.345,0
2025-09-17 13:05:00,3661.84,3663.31,3660.515,3662.84,9125.0,3662.12625,0
2025-09-17 13:10:00,3662.89,3665.18,3661.965,3662.94,8666.0,3663.24375,0
2025-09-17 13:15:00,3663.004,3664.32,3662.275,3663.88,6906.0,3663.36975,0
2025-09-17 13:20:00,3663.72,3668.17,3663.475,3667.67,8549.0,3665.75875,0
2025-09-17 13:25:00,3667.68,3668.24,3665.825,3667.98,8840.0,3667.4312499999996,0
2025-09-17 13:30:00,3667.97,3668.63,3666.695,3667.68,8063.0,3667.74375,0
2025-09-17 13:35:00,3667.525,3668.24,3666.215,3666.579,6972.0,3667.13975,0
2025-09-17 13:40:00,3666.58,3668.54,3665.528,3667.91,7541.0,3667.1394999999998,0
2025-09-17 13:45:00,3667.851,3669.92,3667.225,3668.6,7529.0,3668.3990000000003,0
2025-09-17 13:50:00,3668.65,3669.18,3665.195,3665.5,9985.0,3667.13125,0
2025-09-17 13:55:00,3665.511,3666.28,3664.248,3665.92,8712.0,3665.48975,0
2025-09-17 14:00:00,3665.97,3669.37,3665.445,3668.811,9724.0,3667.399,0
2025-09-17 14:05:00,3668.558,3670.82,3667.675,3670.17,8655.0,3669.30575,0
2025-09-17 14:10:00,3670.35,3671.655,3668.865,3669.35,8666.0,3670.055,0
2025-09-17 14:15:00,3669.44,3671.66,3669.115,3671.27,9092.0,3670.37125,0
2025-09-17 14:20:00,3671.27,3672.03,3670.068,3671.3,9529.0,3671.1670000000004,0
2025-09-17 14:25:00,3671.32,3671.37,3670.075,3670.57,6501.0,3670.83375,0
2025-09-17 14:30:00,3670.57,3672.2,3669.705,3671.194,7547.0,3670.91725,0
2025-09-17 14:35:00,3671.16,3674.12,3670.815,3674.04,8670.0,3672.5337499999996,0
2025-09-17 14:40:00,3673.81,3675.27,3672.505,3674.471,9230.0,3674.0139999999997,0
2025-09-17 14:45:00,3674.69,3677.53,3674.135,3676.86,8658.0,3675.80375,0
2025-09-17 14:50:00,3676.87,3678.65,3675.435,3678.08,9363.0,3677.25875,0
2025-09-17 14:55:00,3678.13,3679.38,3677.795,3678.63,9162.0,3678.4837500000003,0
2025-09-17 15:00:00,3678.66,3679.45,3675.065,3675.7,13200.0,3677.21875,0
2025-09-17 15:05:00,3675.7,3677.43,3672.455,3676.4,13653.0,3675.4962499999997,0
2025-09-17 15:10:00,3676.304,3678.95,3676.085,3678.47,10510.0,3677.45225,0
2025-09-17 15:15:00,3678.48,3679.32,3675.595,3676.47,9410.0,3677.46625,0
2025-09-17 15:20:00,3676.48,3677.09,3673.845,3675.34,10246.0,3675.68875,0
2025-09-17 15:25:00,3675.26,3676.9,3673.698,3676.42,9044.0,3675.5695,0
2025-09-17 15:30:00,3676.57,3680.52,3676.098,3680.164,15462.0,3678.338,0
2025-09-17 15:35:00,3680.11,3682.68,3679.205,3679.87,14936.0,3680.4662499999995,0
2025-09-17 15:40:00,3679.73,3680.76,3677.855,3679.111,12272.0,3679.3639999999996,0
2025-09-17 15:45:00,3679.09,3679.454,3676.545,3679.36,12704.0,3678.61225,0
2025-09-17 15:50:00,3679.325,3679.86,3676.005,3677.44,13751.0,3678.1575,0
2025-09-17 15:55:00,3677.185,3679.19,3676.365,3678.71,12147.0,3677.8625,0
2025-09-17 16:00:00,3678.84,3681.2,3676.585,3679.42,12891.0,3679.01125,0
2025-09-17 16:05:00,3679.52,3681.47,3678.065,3680.99,11901.0,3680.01125,0
2025-09-17 16:10:00,3681.06,3684.42,3680.455,3683.884,10674.0,3682.45475,0
2025-09-17 16:15:00,3684.02,3685.25,3682.465,3682.93,11425.0,3683.66625,0
2025-09-17 16:20:00,3682.79,3683.75,3681.6,3683.451,11510.0,3682.89775,0
2025-09-17 16:25:00,3683.384,3683.64,3681.645,3683.07,9016.0,3682.93475,0
2025-09-17 16:30:00,3682.99,3685.37,3682.825,3683.17,11411.0,3683.58875,0
2025-09-17 16:35:00,3683.115,3685.25,3682.558,3684.88,9720.0,3683.95075,0
2025-09-17 16:40:00,3684.99,3685.65,3683.405,3685.36,10110.0,3684.85125,0
2025-09-17 16:45:00,3685.46,3686.14,3684.415,3685.1,10246.0,3685.27875,0
2025-09-17 16:50:00,3685.199,3685.33,3682.398,3682.69,10541.0,3683.90425,0
2025-09-17 16:55:00,3682.6,3684.72,3682.285,3684.125,10270.0,3683.4325,0
2025-09-17 17:00:00,3684.211,3685.7,3683.285,3683.48,10140.0,3684.169,0
2025-09-17 17:05:00,3683.47,3685.25,3683.165,3684.93,8944.0,3684.2037499999997,0
2025-09-17 17:10:00,3684.98,3687.39,3684.335,3685.41,9177.0,3685.52875,0
2025-09-17 17:15:00,3685.424,3686.54,3684.458,3685.37,7906.0,3685.4480000000003,0
2025-09-17 17:20:00,3684.89,3686.66,3684.535,3685.88,8184.0,3685.49125,0
2025-09-17 17:25:00,3685.9,3686.48,3684.085,3685.17,8041.0,3685.40875,0
2025-09-17 17:30:00,3685.29,3686.27,3684.385,3684.92,7089.0,3685.21625,0
2025-09-17 17:35:00,3684.931,3687.2,3684.805,3686.17,8024.0,3685.7765,0
2025-09-17 17:40:00,3686.194,3686.86,3684.415,3685.37,6225.0,3685.70975,0
2025-09-17 17:45:00,3684.8,3685.71,3683.745,3684.424,5677.0,3684.66975,0
2025-09-17 17:50:00,3684.4,3685.48,3682.785,3682.92,6352.0,3683.8962500000002,0
2025-09-17 17:55:00,3682.92,3684.77,3682.665,3684.08,6004.0,3683.60875,0
2025-09-17 18:00:00,3684.17,3685.93,3683.995,3685.66,5754.0,3684.9387500000003,0
2025-09-17 18:05:00,3685.65,3687.11,3685.115,3686.65,7107.0,3686.13125,0
2025-09-17 18:10:00,3686.649,3686.85,3685.535,3685.86,5936.0,3686.2235,0
2025-09-17 18:15:00,3685.76,3686.67,3685.515,3685.91,4551.0,3685.96375,0
2025-09-17 18:20:00,3685.96,3688.41,3685.775,3688.04,6904.0,3687.0462500000003,0
2025-09-17 18:25:00,3688.1,3688.6,3687.295,3687.92,6105.0,3687.9787499999998,0
2025-09-17 18:30:00,3687.92,3688.16,3687.115,3687.41,6096.0,3687.65125,0
2025-09-17 18:35:00,3687.48,3688.03,3686.535,3686.774,6088.0,3687.20475,0
